year,DAVY6b,DAVY4b,DAVY3b,DAVY2b,DAVY1b,HBR1b,HBR2b,HBR3b,HBR4b,HBR5b,HBR6b,HF1115b,HF1130b,HF1215b,HF1230b,HF1Rb,HF1315b,HF110b,HF1330b,HF130b,HDF2315,HF2Rb,HF210b,HDF220b,HDF230b,HF2130b,HF2330a,HS1130b,HS1230b,HS130b,HS1330b,HS120b,HS1215b,HS1315b,HS1Rb,HS110b,HS2330b,HS2Rb,HS2230b,HS2215b,HS230b,HS220b,HS210b,HS2315b,LBR1b,LBR2b,LBR3b,LBR4b,LBR5b,LF110b,LF1315b,LF1130b,LF120a,LF1230b,LF1Ra,LF130a,LF1215b,LF1115b,LF2130b,LF210b,LF2115b,LF220b,LF2215b,LF2230b,LF2Rb,LF230a,LF2330a,LF2315b,LF3Rb,LF3330a,LF3315a,LF330a,LDF320A,LF3230a,LF3215a,LF3115a,LF3130b,LS1115B,LS130A,LS120A,LS1215a,LDS1T1A,LS1330b,LS1R,LS1230a,LS2215a,LS2RA,LS2130a,LS2315a,LS320a,LS310b,LS3115a,LS3130a,LS3215a,LS3230A,LS330b,MF1215a,MF1230a,MDF110a,MF1Ra,MF120a,MF1330a,MF1115a,MF130a,MF1315a,MF1130a,MF220a,MF2215a,MF230a,MF210b,MF2230a,MF2315a,MF2130a,MF2115a,MF2330a,MF320a,MF3215a,MF3315a,MF330a,MF310a,MF3Ra,MF3330a,MF3130a,MF3115a,MF3230a,MF4115a,MF4Ra,MF4315b,MF410a,MF4130a,MF4215a,MD420C,MD430c,MS1130a,MS130a,MS1230a,MS1115b,MS110a,MS1Ra,MS1215a,MS120b,MS1315b,1330A,MS2130a,MS210a,MS2215b,MS230b,MS220a,MS2315c,MS23b
1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
