site,year,tree,bai,density.names,rw,dens
Davy,1951,DAVY1b,2.134938403,Very High,0.439,3.7
Davy,1951,DAVY2b,1.814100111,Very High,0.314,3.7
Davy,1951,DAVY3b,0.31336994,Very High,0.2005,3.7
Davy,1951,DAVY4b,0.293141225,Very High,0.1835,3.7
Davy,1951,DAVY6b,0.161883128,Very High,0.227,3.7
Davy,1952,DAVY1b,2.739751537,Very High,0.37,3.7
Davy,1952,DAVY2b,2.919082285,Very High,0.3685,3.7
Davy,1952,DAVY3b,1.158931174,Very High,0.3515,3.7
Davy,1952,DAVY4b,1.457636159,Very High,0.418,3.7
Davy,1952,DAVY6b,0.43806368,Very High,0.21,3.7
Davy,1953,DAVY1b,6.234264426,Very High,0.597,3.7
Davy,1953,DAVY2b,3.596429296,Very High,0.353,3.7
Davy,1953,DAVY3b,2.290912195,Very High,0.404,3.7
Davy,1953,DAVY4b,1.888525227,Very High,0.3245,3.7
Davy,1953,DAVY6b,0.952656556,Very High,0.266,3.7
Davy,1954,DAVY1b,7.161543197,Very High,0.514,3.7
Davy,1954,DAVY2b,3.136707477,Very High,0.259,3.7
Davy,1954,DAVY3b,2.042462481,Very High,0.263,3.7
Davy,1954,DAVY4b,2.256254145,Very High,0.291,3.7
Davy,1954,DAVY6b,1.246982947,Very High,0.241,3.7
Davy,1955,DAVY1b,9.141657631,Very High,0.531,3.7
Davy,1955,DAVY2b,9.372461018,Very High,0.629,3.7
Davy,1955,DAVY3b,4.298151139,Very High,0.432,3.7
Davy,1955,DAVY4b,6.022590197,Very High,0.575,3.7
Davy,1955,DAVY6b,2.211784901,Very High,0.319,3.7
Davy,1956,DAVY1b,8.06699968,Very High,0.4005,3.7
Davy,1956,DAVY2b,8.083054789,Very High,0.4425,3.7
Davy,1956,DAVY3b,5.247213714,Very High,0.416,3.7
Davy,1956,DAVY4b,6.230440323,Very High,0.4545,3.7
Davy,1956,DAVY6b,3.162327165,Very High,0.35,3.7
