year,month,temp,precip
1901,1,-41.5,5.300000191
1901,2,-33.29999924,2.799999952
1901,3,-30.60000038,0.400000006
1901,4,-13.40000057,3.700000048
1901,5,-4.099999905,17.89999962
1901,6,8.300000191,8.800000191
1901,7,10.80000019,15.69999981
1901,8,7.300000191,21.89999962
1901,9,1.399999976,16.89999962
1901,10,-10.90000057,6.900000095
1901,11,-23.60000038,8.400000572
1901,12,-25,20.89999962
1902,1,-36.90000153,6.800000191
1902,2,-38,6.300000191
1902,3,-29,2.299999952
1902,4,-18.70000076,2.200000048
1902,5,-5.099999905,14.5
1902,6,7.5,17.70000076
1902,7,11.80000019,30.89999962
1902,8,6.700000286,17.60000038
1902,9,-0.800000012,11.5
1902,10,-15.60000038,10.19999981
1902,11,-25.60000038,23.10000038
1902,12,-34.10000229,7.200000286
1903,1,-41.79999924,6.5
1903,2,-35.10000229,3
1903,3,-26.10000038,3.400000095
1903,4,-19,6.300000191
1903,5,-5.200000286,0
1903,6,5.900000095,48.10000229
1903,7,11.19999981,26.70000076
1903,8,7.599999905,12.90000057
1903,9,1.800000072,21.39999962
1903,10,-9,16.5
1903,11,-21.89999962,12.10000038
1903,12,-34.90000153,7.200000286
1904,1,-38.29999924,2.600000143
1904,2,-24.30000114,14.10000038
1904,3,-20.89999962,2.100000143
1904,4,-19.30000114,5.200000286
1904,5,-5.400000095,7
1904,6,5.099999905,5.800000191
1904,7,11.19999981,13.30000019
1904,8,6.800000191,3.900000095
1904,9,0.300000012,13.5
1904,10,-13.40000057,15
1904,11,-24.10000038,13.80000019
1904,12,-31.39999962,4.700000286
1905,1,-32.40000153,10.69999981
1905,2,-32.40000153,15.10000038
1905,3,-24.80000114,4.300000191
1905,4,-16.80000114,2.100000143
1905,5,-8.900000572,1.300000072
1905,6,6.099999905,8.400000572
1905,7,8.400000572,35.10000229
1905,8,7.200000286,26.10000038
1905,9,1,36.70000076
1905,10,-12.5,16
1905,11,-30.70000076,8.199999809
1905,12,-35.40000153,4
1906,1,-39.60000229,4
1906,2,-35.10000229,10.5
1906,3,-24.89999962,4
1906,4,-15.40000057,3.400000095
1906,5,-8.900000572,1.700000048
1906,6,5.700000286,20.30000114
1906,7,7.599999905,6.300000191
1906,8,8.400000572,30.60000038
1906,9,2.900000095,15.40000057
1906,10,-10.10000038,16
1906,11,-26,9.300000191
1906,12,-25.70000076,18.5
1907,1,-32.40000153,8.300000191
1907,2,-34.5,3
1907,3,-28.20000076,4.599999905
1907,4,-19.60000038,0.300000012
1907,5,-3.400000095,7
1907,6,6.900000095,28
1907,7,10.19999981,38.10000229
1907,8,6.700000286,8
1907,9,0.400000006,18
1907,10,-10.30000019,16
1907,11,-28.60000038,16
1907,12,-38.79999924,12
1908,1,-38.90000153,14
1908,2,-28.30000114,9
1908,3,-28.5,4
1908,4,-24.10000038,5
1908,5,-5.099999905,7
1908,6,8,18
1908,7,11.90000057,34
1908,8,7.200000286,30
1908,9,2.100000143,1.800000072
1908,10,-8.900000572,7.5
1908,11,-28.5,19.20000076
1908,12,-30.60000038,5.900000095
1909,1,-29.60000038,14
1909,2,-30.39999962,9
1909,3,-32.20000076,4
1909,4,-14.40000057,5
1909,5,-5.900000095,7
1909,6,5.5,18
1909,7,11.10000038,34
1909,8,9.100000381,30
1909,9,2,18
1909,10,-8.699999809,16
1909,11,-22.89999962,16
1909,12,-34.5,12
1910,1,-42.10000229,14
1910,2,-29.5,9
1910,3,-30.70000076,4
1910,4,-18.89999962,5
1910,5,-6.300000191,7
1910,6,5.599999905,18
1910,7,10.80000019,50
1910,8,8.300000191,28.80000114
1910,9,3.700000048,18
1910,10,-10.80000019,16
1910,11,-27.20000076,16
1910,12,-31.39999962,12
1911,1,-34.29999924,14
1911,2,-32.70000076,9
1911,3,-30.39999962,4
1911,4,-17.60000038,5
1911,5,-6.800000191,7
1911,6,7.300000191,18
1911,7,12.90000057,34
