year,Jan.temp,Feb.temp,Mar.temp,Apr.temp,May.temp,Jun.temp,Jul.temp,Aug.temp,Sep.temp,Jan.prcp,Feb.prcp,Mar.prcp,Apr.prcp,May.prcp,Jun.prcp,Jul.prcp,Aug.prcp,Sep.prcp,PApr.temp,PMay.temp,PJun.temp,PJul.temp,PAug.temp,PSep.temp,POct.temp,PNov.temp,PDec.temp,PApr.prcp,PMay.prcp,PJun.prcp,PJul.prcp,PAug.prcp,PSep.prcp,POct.prcp,PNov.prcp,PDec.prcp,X,Pfall.temp,Pfall.precip,winter.temp,winter.precip,gs.temp,gs.precip,Pgs.temp,Pgs.precip,sping.temp,spring.precip,Pspring.temp,Pspring.precip,annual.temp,annual.precip,Pfall.CMI,winter.CMI,gs.CMI,Pgs.CMI,sping.CMI,Pspring.CMI
1951,-34,-32.90000153,-23.39999962,-18.10000038,-2.799999952,8.699999809,11.10000038,7.900000095,2.600000143,5.5,4.099999905,6,2.299999952,3.400000095,10.69999981,27.10000038,12.19999981,14.90000057,-18.10000038,-2.799999952,8.699999809,11.10000038,7.900000095,2.600000143,-9.199999809,-26.70000076,-28,2.299999952,3.400000095,10.69999981,27.10000038,12.19999981,14.90000057,16.39999962,10.19999981,12.69999981,51,-11.99999982,43.60000038,-33.86666743,16.4000001,9.233333428,50,7.366666635,115.8000031,-14.76666665,11.70000005,-19.70000044,12.20000029,-12.0666668,125.4999998,1.256561367,0.54666667,-2.944675672,0.46397601,0.287723243,0.406666676
1952,-33.79999924,-35.40000153,-24.5,-17.39999962,-6.400000095,6.700000286,12.90000057,10.10000038,2.900000095,10.30000019,5.599999905,1.899999976,4.200000286,3.400000095,6.700000286,34.29999924,21.39999962,12.5,-17.39999962,-6.400000095,6.700000286,12.90000057,10.10000038,2.900000095,-9.5,-24.5,-31.10000038,4.200000286,3.400000095,6.700000286,34.29999924,21.39999962,12.5,19.39999962,11.40000057,6.400000095,52,-11.10000014,41.5,-32.40000026,28.59999991,9.900000412,62.39999915,9.233333428,50,-16.09999991,9.500000357,-14.76666665,11.70000005,-12.49999996,137.4999999,0.873321435,0.95333333,-3.16804716,-2.944675672,0.316666679,0.287723243
1953,-30.10000038,-32.79999924,-27.89999962,-17.80000114,-2.700000048,9.800000191,12.19999981,9.300000191,3.100000143,12.5,8.900000572,1.399999976,2.900000095,4.099999905,4.300000191,35.40000153,29,21.70000076,-17.80000114,-2.700000048,9.800000191,12.19999981,9.300000191,3.100000143,-9.199999809,-21.30000114,-35,2.900000095,4.099999905,4.300000191,35.40000153,29,21.70000076,12.60000038,25.60000038,3.299999952,53,-10.36666664,43.30000019,-31.33333333,27.80000067,10.4333334,68.70000172,9.900000412,62.39999915,-16.1333336,8.399999976,-16.09999991,9.500000357,-11.86666675,161.7000037,0.902984858,0.926666689,-3.153850901,-3.16804716,0.170732112,0.316666679
1954,-30.89999962,-31.80000114,-27.5,-10.19999981,-1.899999976,7.5,11.10000038,6.599999905,1,18.89999962,6.300000191,6.5,9.900000572,5.5,48.20000076,41.5,39.20000076,17.5,-10.19999981,-1.899999976,7.5,11.10000038,6.599999905,1,-10.80000019,-23.20000076,-34.70000076,9.900000572,5.5,48.20000076,41.5,39.20000076,17.5,12.30000019,16.60000038,12.30000019,54,-9.133333602,59.90000152,-32.56666692,28.49999976,8.400000095,128.9000015,10.4333334,68.70000172,-13.19999993,21.90000057,-16.1333336,8.399999976,-12.06666683,234.7000027,1.460449871,0.949999992,0.016213037,-3.153850901,0.595263724,0.170732112
1955,-32.90000153,-31.20000076,-27.60000038,-18.39999962,-4.900000095,7.200000286,10.10000038,9.5,1,4.400000095,4.099999905,11,3.200000048,9.400000572,28,36,40.79999924,26,-18.39999962,-4.900000095,7.200000286,10.10000038,9.5,1,-15,-25.70000076,-24.10000038,3.200000048,9.400000572,28,36,40.79999924,26,8,6.800000191,16.5,55,-11.00000032,46.40000057,-32.93333435,20.80000019,8.933333555,104.7999992,8.400000095,128.9000015,-16.9666667,23.60000062,-13.19999993,21.90000057,-12.6666669,194.2000001,1.204760206,0.69333334,-1.381636469,0.016213037,0.784640869,0.595263724
1956,-27.20000076,-30.39999962,-26.60000038,-18.80000114,-3.799999952,8.900000572,11.90000057,6.800000191,1,20.39999962,5.400000095,3.700000048,9.900000572,6.400000095,8.300000191,57.90000153,19,29.20000076,-18.80000114,-3.799999952,8.900000572,11.90000057,6.800000191,1,-12.69999981,-27.39999962,-30.89999962,9.900000572,6.400000095,8.300000191,57.90000153,19,29.20000076,20.39999962,5.700000286,14.5,56,-13.23333359,40.80000019,-27.23333359,42.29999972,9.200000444,85.20000172,8.933333555,104.7999992,-16.40000049,20.00000072,-16.9666667,23.60000062,-12.4333333,200.8000028,1.018093526,1.409999991,-2.089925827,-1.381636469,0.620950797,0.784640869
1957,-29,-33.10000229,-28,-16.60000038,-2.100000143,9,10.90000057,7.099999905,2.700000048,25.89999962,13,4.800000191,8,7.900000095,23.60000038,56.79999924,54.60000229,15.80000019,-16.60000038,-2.100000143,9,10.90000057,7.099999905,2.700000048,-10.90000057,-22.20000076,-34.79999924,8,7.900000095,23.60000038,56.79999924,54.60000229,15.80000019,24.80000114,9.800000191,11,57,-13.03333314,55.30000067,-31.00000064,53.39999962,9.000000158,135.0000019,9.200000444,85.20000172,-15.56666684,20.70000029,-16.40000049,20.00000072,-12.25000024,256.0000033,1.496072954,1.779999987,-0.418821913,-2.089925827,0.552995722,0.620950797
1958,-32.29999924,-31.39999962,-25.39999962,-18.60000038,-6.800000191,8.199999809,10.60000038,9.800000191,1.600000024,11.30000019,5.800000191,11.40000057,3.400000095,4.400000095,29,35.90000153,26.89999962,9.300000191,-18.60000038,-6.800000191,8.199999809,10.60000038,9.800000191,1.600000024,-13.19999981,-30.60000038,-29.10000038,3.400000095,4.400000095,29,35.90000153,26.89999962,9.300000191,20.60000038,18.89999962,17.70000076,58,-10.13333376,50.40000152,-32.8333327,28.10000038,9.53333346,91.80000115,9.000000158,135.0000019,-16.9333334,19.20000076,-15.56666684,20.70000029,-13.09999993,194.6000032,1.105512615,0.936666679,-1.961030792,-0.418821913,0.640000026,0.552995722
1959,-26,-31,-27,-16,-0.5,7,11.60000038,8.300000191,2.700000048,19.60000038,13.69999981,0.900000036,8.900000572,4.800000191,39,42.29999924,52,18.80000114,-16,-0.5,7,11.60000038,8.300000191,2.700000048,-10.69999981,-20.70000076,-34,8.900000572,4.800000191,39,42.29999924,52,18.80000114,12.10000038,9.100000381,7.700000286,59,-14.06666672,48.80000019,-28.70000013,51.00000095,8.966666857,133.2999992,9.53333346,91.80000115,-14.5,14.6000008,-16.9333334,19.20000076,-11.35833333,228.9000024,1.198817857,1.700000032,-0.093337815,-1.961030792,0.239431989,0.640000026
1960,-31,-31.10000038,-20.10000038,-17.30000114,-4.599999905,8.900000572,13.10000038,8.300000191,2.400000095,11.19999981,12.69999981,8.300000191,1.399999976,6.700000286,26.70000076,16.39999962,45.5,17.10000038,-17.30000114,-4.599999905,8.900000572,13.10000038,8.300000191,2.400000095,-11.30000019,-25.5,-27.10000038,1.399999976,6.700000286,26.70000076,16.39999962,45.5,17.10000038,20.89999962,6.300000191,12.69999981,60,-9.566666841,40.0000019,-32.03333346,31.59999991,10.10000038,88.60000038,8.966666857,133.2999992,-14.00000048,16.40000045,-14.5,14.6000008,-11.27500009,185.9000005,0.897149268,1.05333333,-2.374911623,-0.093337815,0.533272994,0.239431989
