site,year,latitude,longitude,first.yr,n.yr.obs,n.obs.yr,ndvi.max,ndvi.max.lower,ndvi.max.upper,tree.dens
Davy,1999,68.75561454,161.453667,1999,13,3,0.693302174,0.673394461,0.728190433,D
Davy,2000,68.75561454,161.453667,1999,13,3,0.680722023,0.633990961,0.745098922,D
Davy,2001,68.75561454,161.453667,1999,13,3,0.709644752,0.662411724,0.768092577,D
Davy,2002,68.75561454,161.453667,1999,13,6,0.669488862,0.634504198,0.725077429,D
Davy,2003,68.75574929,161.454206,1999,13,2,0.627244732,0.485313558,0.769175905,D
Davy,2004,68.75561454,161.453667,1999,13,5,0.685080047,0.632283539,0.717184986,D
Davy,2005,68.75561454,161.453667,1999,13,3,0.701340673,0.680879854,0.723412086,D
Davy,2006,68.75561454,161.453667,1999,13,3,0.684691778,0.643669782,0.698603192,D
Davy,2007,68.75561454,161.453667,1999,13,7,0.732262102,0.697439548,0.769796378,D
Davy,2008,68.75561454,161.453667,1999,13,7,0.7206132,0.647033869,0.773501693,D
Davy,2009,68.75561454,161.453667,1999,13,11,0.679089448,0.633129612,0.723998177,D
Davy,2010,68.75561454,161.453667,1999,13,5,0.717068547,0.687407474,0.771555482,D
Davy,2011,68.75561454,161.453667,1999,13,8,0.705310726,0.652587167,0.768571592,D
HBR,1999,68.75049414,161.4728011,1999,12,3,0.728150099,0.671526898,0.819490862,H
HBR,2000,68.75049414,161.4728011,1999,12,4,0.722622938,0.640260379,0.779242269,H
HBR,2001,68.75049414,161.4728011,1999,12,3,0.759827593,0.729209735,0.802376335,H
HBR,2002,68.75049414,161.4728011,1999,12,6,0.705924443,0.648651937,0.739738192,H
HBR,2004,68.75049414,161.4728011,1999,12,7,0.689684489,0.442122158,0.882388365,H
HBR,2005,68.7503594,161.4722622,1999,12,4,0.76384304,0.750186834,0.777298231,H
HBR,2006,68.75049414,161.4728011,1999,12,4,0.72626091,0.691958859,0.75576795,H
HBR,2007,68.75049414,161.4728011,1999,12,7,0.786725872,0.742471969,0.808418107,H
HBR,2008,68.75049414,161.4728011,1999,12,6,0.771007527,0.720135316,0.864350226,H
HBR,2009,68.75049414,161.4728011,1999,12,12,0.736195824,0.681237285,0.77135048,H
HBR,2010,68.75049414,161.4728011,1999,12,5,0.767233181,0.728920124,0.804334791,H
HBR,2011,68.75049414,161.4728011,1999,12,6,0.771026715,0.758852191,0.7773093,H
HDF1,1999,68.74712546,161.479808,1999,13,3,0.697522697,0.682058446,0.725793732,H
HDF1,2000,68.74726021,161.479808,1999,13,3,0.755030177,0.7309076,0.801497552,H
HDF1,2001,68.74726021,161.479808,1999,13,2,0.762063963,0.710651557,0.813476368,H
HDF1,2002,68.74726021,161.479808,1999,13,6,0.673624637,0.627793046,0.76510752,H
HDF1,2003,68.74726021,161.479808,1999,13,2,0.648700888,0.491824317,0.805577459,H
HDF1,2004,68.74726021,161.479808,1999,13,7,0.709988462,0.600507442,0.802301699,H
HDF1,2005,68.74726021,161.479808,1999,13,4,0.719731723,0.708890436,0.733183191,H
HDF1,2006,68.74739496,161.4800775,1999,13,3,0.690167526,0.67444443,0.713072449,H
HDF1,2007,68.74735646,161.4799042,1999,13,8,0.75855703,0.697302176,0.834907791,H
HDF1,2008,68.74726021,161.479808,1999,13,6,0.727406146,0.660423522,0.797105549,H
HDF1,2009,68.74726021,161.479808,1999,13,10,0.706447931,0.647880267,0.764767568,H
HDF1,2010,68.74726021,161.479808,1999,13,5,0.727885204,0.695183732,0.765242148,H
HDF1,2011,68.74726021,161.479808,1999,13,7,0.73603155,0.709408399,0.757557489,H
HDF2,1999,68.74726021,161.4905878,1999,13,4,0.703690416,0.615329911,0.804993998,H
HDF2,2000,68.74726021,161.490453,1999,13,3,0.748596986,0.737888978,0.761565252,H
HDF2,2001,68.74726021,161.490453,1999,13,2,0.788778925,0.753528703,0.824029147,H
HDF2,2002,68.74726021,161.490453,1999,13,6,0.700422806,0.668873493,0.722760518,H
HDF2,2003,68.74726021,161.490453,1999,13,2,0.717491296,0.59746491,0.837517681,H
HDF2,2004,68.74726021,161.490453,1999,13,7,0.684806047,0.443687276,0.87171107,H
HDF2,2005,68.74717038,161.4903632,1999,13,3,0.746427002,0.726847342,0.770513185,H
HDF2,2006,68.74726021,161.490453,1999,13,4,0.67192388,0.470333318,0.746974218,H
HDF2,2007,68.74726021,161.490453,1999,13,7,0.777699089,0.719085633,0.804437439,H
HDF2,2008,68.74726021,161.490453,1999,13,5,0.765447995,0.727299065,0.83108848,H
HDF2,2009,68.74726021,161.490453,1999,13,11,0.724529138,0.669680999,0.797312835,H
HDF2,2010,68.74726021,161.490453,1999,13,5,0.756524495,0.718302229,0.793840859,H
HDF2,2011,68.74726021,161.490453,1999,13,7,0.768320332,0.714416827,0.800557901,H
HDR,1999,68.75615353,161.4485466,1999,13,3,0.679949491,0.628978512,0.736217401,H
